deportista_id,nombre,genero,edad,altura,peso,equipo_id
1,A Dijiang,1,24,180.0,80.0,1
2,A Lamusi,1,23,170.0,60.0,1
3,Gunnar Nielsen Aaby,1,24,175.0,72.0,2
4,Edgar Lindenau Aabye,1,34,182.0,85.0,2
5,Christine Jacoba Aaftink,2,21,185.0,82.0,3
6,Per Knut Aaland,1,31,188.0,75.0,4
7,John Aalberg,1,31,183.0,72.0,4
8,Cornelia Cor Aalten,2,18,168.0,58.0,3
9,Antti Frans Silas Aalto,1,26,178.0,74.0,5
10,Einar Ferdinand Mindedal Aas,1,23,176.0,70.0,6
11,Michael Phelps,1,23,193.0,88.0,4
12,Usain Bolt,1,22,195.0,94.0,7
13,Simone Biles,2,19,142.0,47.0,4
14,Shelly-Ann Fraser-Pryce,2,21,152.0,52.0,7
15,Katie Ledecky,2,19,183.0,73.0,4
